contributor,total,to_dems,to_repubs,to_liberal_groups,to_conservative_groups,to_nonpartisan_groups,lean,industry
S-3 Group,411750,52200,359550,0,0,0,Leans Republican,Lobbyists
Fierce Government Relations,408183,0,408183,0,0,0,Leans Republican,Lobbyists
theGroup DC,404610,375560,21550,0,0,0,Leans Democrat,Lobbyists
Williams & Jensen,388561,115345,269716,0,0,0,Leans Republican,Lobbyists
Forbes Tate Partners,359593,227260,119733,0,0,0,Leans Democrat,Lobbyists
Todd Strategy Group,333208,0,332208,0,0,0,Leans Republican,Lobbyists
Van Scoyoc Assoc,331218,91552,238666,0,0,0,Leans Republican,Lobbyists
Cassidy & Assoc,328362,137367,190995,0,0,0,Leans Republican,Lobbyists
Crossroads Strategies,302046,86155,215891,0,0,0,Leans Republican,Lobbyists
Tonio Burgos & Assoc,300456,292556,8900,0,0,0,Leans Democrat,Lobbyists
Tarplin Downs & Young,300320,82920,216400,0,0,0,Leans Republican,Lobbyists
Sandhills Global,3619801,575,619226,0,3000000,0,Leans Conservative,Publishing & Printing
Newsweb Corp,3343400,1243400,0,2209500,0,0,Leans Liberal,Publishing & Printing
RELX Group,301110,34297,32281,234300,0,0,Leans Liberal,Publishing & Printing
Songs Music Publishing,289900,64900,0,225000,0,0,Leans Liberal,Publishing & Printing
Grosse Pointe News,289100,0,289100,0,0,0,Leans Republican,Publishing & Printing
Center for the Art of Translation,201616,201616,0,0,0,0,Leans Democrat,Publishing & Printing
NewsMax Media,199147,20,99127,0,100000,0,Leans Conservative,Publishing & Printing
Skyhorse Publishing,188216,16,0,0,0,175000,On the fence,Publishing & Printing
Washington Post,167824,167264,55,250,0,0,Leans Democrat,Publishing & Printing
Pearson Education,151552,146867,1782,900,0,615,Leans Democrat,Publishing & Printing
Elana'S Pantry,143000,143000,0,0,0,0,Leans Democrat,Publishing & Printing
Advance Publications,113622,106354,6181,0,0,0,Leans Democrat,Publishing & Printing
Bvision Sportsmedia,108000,3500,4500,0,0,100000,On the fence,Publishing & Printing
News Corp,90196,69439,13608,0,0,250,Leans Democrat,Publishing & Printing
Cambridge Information Group,85395,85395,0,0,0,0,Leans Democrat,Publishing & Printing
Blindspot LLC,82500,0,0,0,82500,0,Leans Conservative,Publishing & Printing
Thomson Reuters,68750,64201,3509,250,265,0,Leans Democrat,Publishing & Printing
Sps Studios,61200,61200,0,0,0,0,Leans Democrat,Publishing & Printing
Progressive Publications,54100,0,9100,0,20000,25000,On the fence,Publishing & Printing
Louisville Magazine,52700,52700,0,0,0,0,Leans Democrat,Publishing & Printing
International Franchise Assn,359289,79500,276289,0,0,0,Leans Republican,Business Associations
National Federation of Independent Business,292574,2775,289799,0,0,0,Leans Republican,Business Associations
US Chamber of Commerce,154660,35605,114055,0,0,0,Leans Republican,Business Associations
Council for Innovation Promotion,103300,0,3300,0,0,100000,On the fence,Business Associations
Employee-Owned S Corporations of America,55000,20000,35000,0,0,0,Leans Republican,Business Associations
Business Roundtable,48044,7300,40744,0,0,0,Leans Republican,Business Associations
Commonwealth Partners Chamber of Entrepreneurs,31904,0,0,0,31904,0,Leans Conservative,Business Associations
Chaldean American Chamber of Commerce,27100,21100,6000,0,0,0,Leans Democrat,Business Associations
Americna Arb Chamber of Commerce,24448,24448,0,0,0,0,Leans Democrat,Business Associations
S Corporation Assn,24000,0,24000,0,0,0,Leans Republican,Business Associations
International Trademark Assn,23780,10280,13500,0,0,0,Leans Republican,Business Associations
Neighborhood Market Assn,15550,15000,550,0,0,0,Leans Democrat,Business Associations
Oklahoma State Chamber Of Commerce,15000,0,0,0,15000,0,Leans Conservative,Business Associations
PARTNERSHIP FOR NEW YORK CITY,11450,11450,0,0,0,0,Leans Democrat,Business Associations
Us-Mexico Chamber of Commerce,9000,0,9000,0,0,0,Leans Republican,Business Associations
Erisa Industry Cmte,8450,1950,6500,0,0,0,Leans Republican,Business Associations
Greater Harlem Chamber of Commerce,6410,6410,0,0,0,0,Leans Democrat,Business Associations
Arkansas State Chamber of Commerce,5780,0,5780,0,0,0,Leans Republican,Business Associations
American Southwest Chamber of Commerce,5250,5250,0,0,0,0,Leans Democrat,Business Associations
American Council for Capital Formation,5000,0,5000,0,0,0,Leans Republican,Business Associations
National Assn of Development Companies,5000,0,5000,0,0,0,Leans Republican,Business Associations
NKY Chamber of Commerce,5000,0,5000,0,0,0,Leans Republican,Business Associations
General Motors,968099,542664,412572,10483,240,515,Leans Democrat,Auto Manufacturers
Toyota Motor Corp,634880,255324,374887,600,0,0,Leans Republican,Auto Manufacturers
Ford Motor Co,404438,222772,176879,248,100,960,Leans Democrat,Auto Manufacturers
Tesla Inc,98311,62995,31250,502,0,218,Leans Democrat,Auto Manufacturers
Waymo LLC,85454,84517,310,5600,0,0,Leans Democrat,Auto Manufacturers
Alliance for Automotive Innovation,61250,16750,44500,0,0,0,Leans Republican,Auto Manufacturers
Stellantis NV,51600,21841,26887,300,300,0,Leans Republican,Auto Manufacturers
FCA US LLC,41339,35313,5717,-755,0,215,Leans Democrat,Auto Manufacturers
Faraday Future,37695,37625,70,0,0,0,Leans Democrat,Auto Manufacturers
Larry H Miller Group,28225,0,28225,0,0,0,Leans Republican,Auto Manufacturers
Aurora Innovation,21949,20172,1750,0,0,0,Leans Democrat,Auto Manufacturers
Honda Motor Co,14668,10850,3277,120,0,0,Leans Democrat,Auto Manufacturers
Nissan,12040,9001,1942,1000,0,0,Leans Democrat,Auto Manufacturers
Volkswagen AG,11389,4436,6901,0,0,0,Leans Republican,Auto Manufacturers
Volkswagen Group of America,11359,9007,2342,0,0,0,Leans Democrat,Auto Manufacturers
Hyundai Motor America,6941,807,6074,0,0,0,Leans Republican,Auto Manufacturers
Nissan North America,6296,2667,3449,0,0,0,Leans Republican,Auto Manufacturers
Bmw,6132,2506,3349,136,0,0,Leans Republican,Auto Manufacturers
Mercedes-Benz USA,5467,2299,3168,0,0,0,Leans Republican,Auto Manufacturers
American Honda Motor,5186,3284,1902,0,0,0,Leans Democrat,Auto Manufacturers
Lockheed Martin,1917820,884979,1007147,52585,485,790,Leans Republican,Defense
Northrop Grumman,1253089,660990,573905,31210,878,100,Leans Democrat,Defense
General Atomics,1229004,279617,864690,445,83400,510,Leans Republican,Defense
L3Harris Technologies,1200065,445060,751054,1300,25,0,Leans Republican,Defense
RTX Corp,1079739,490669,564179,7691,2065,0,Leans Republican,Defense
General Dynamics,1001723,440787,533586,1950,0,0,Leans Republican,Defense
Anduril Industries,743159,88168,653381,0,0,0,Leans Republican,Defense
Leidos Inc,630666,306289,316379,2771,0,500,Leans Republican,Defense
BAE Systems,582995,246919,325267,597,0,250,Leans Republican,Defense
Huntington Ingalls Industries,426071,227389,194857,0,0,0,Leans Democrat,Defense
Sierra Nevada Corp,352215,145046,204639,0,0,0,Leans Republican,Defense
Booz Allen Hamilton,319342,161887,147728,2420,500,100,Leans Democrat,Defense
Bollinger Shipyards,313747,6600,307147,0,0,0,Leans Republican,Defense
Intelligenesis Inc,267737,67237,0,200500,0,0,Leans Liberal,Defense
Radiance Technologies,250277,9810,240467,0,0,0,Leans Republican,Defense
Second Front Systems,224900,68600,6300,150000,0,0,Leans Liberal,Defense
Honeywell International,224500,120500,101500,0,0,0,Leans Democrat,Defense
Colsa Corp,212445,1182,211213,0,0,0,Leans Republican,Defense
Parsons Corp,201950,72022,129328,150,0,0,Leans Republican,Defense
Thompson Gray Inc,192558,0,42558,0,150000,0,Leans Conservative,Defense
Texas Farm Bureau,278676,44173,234503,0,0,0,Leans Republican,Farm Bureaus
Mississippi Farm Bureau,110375,1000,109375,0,0,0,Leans Republican,Farm Bureaus
North Carolina Farm Bureau,27000,8500,18500,0,0,0,Leans Republican,Farm Bureaus
California Farm Bureau,23636,4500,19136,0,0,0,Leans Republican,Farm Bureaus
Farm Bureau,18847,1253,17594,0,0,0,Leans Republican,Farm Bureaus
Ohio Farm Bureau,9500,4500,5000,0,0,0,Leans Republican,Farm Bureaus
Nebraska Farm Bureau,5600,0,5600,0,0,0,Leans Republican,Farm Bureaus
Missouri Farm Bureau,5049,0,5049,0,0,0,Leans Republican,Farm Bureaus
Q Prime Inc,296551,296551,0,0,0,0,Leans Democrat,"Record Companies,Singers"
Corky Hale Productions,170437,158337,0,10800,0,0,Leans Democrat,"Record Companies,Singers"
Curb Records,163400,0,63400,0,100000,0,Leans Conservative,"Record Companies,Singers"
Universal Music Group,148832,122303,26255,10000,0,0,Leans Democrat,"Record Companies,Singers"
Mtheory,105920,105920,0,0,0,0,Leans Democrat,"Record Companies,Singers"
Michael Skloff Music,96900,96900,0,0,0,0,Leans Democrat,"Record Companies,Singers"
ASCAP,65323,52318,13000,0,0,0,Leans Democrat,"Record Companies,Singers"
Sony Music Entertainment,60596,53949,5507,0,0,0,Leans Democrat,"Record Companies,Singers"
Broadcast Music Inc,57700,27918,29657,0,0,0,Leans Republican,"Record Companies,Singers"
Recording Industry Assn of America,51265,22365,28900,0,0,0,Leans Republican,"Record Companies,Singers"
TGC Management,47900,47900,0,0,0,0,Leans Democrat,"Record Companies,Singers"
Access Industries,21795,16384,125,5250,0,0,Leans Democrat,"Record Companies,Singers"
National Music Publishers Assn,20250,9500,10750,0,0,0,Leans Republican,"Record Companies,Singers"
Jon Landau Management,20037,20037,0,0,0,0,Leans Democrat,"Record Companies,Singers"
Soundexchange,10213,6089,4124,0,0,0,Leans Democrat,"Record Companies,Singers"
American Assn of Independent Music,9000,4000,5000,0,0,0,Leans Republican,"Record Companies,Singers"
Peter Rutenberg Music Productions,8500,8500,0,0,0,0,Leans Democrat,"Record Companies,Singers"
Sesac Music Group,7040,4101,2939,0,0,0,Leans Democrat,"Record Companies,Singers"
Baste Records,6818,0,6818,0,0,0,Leans Republican,"Record Companies,Singers"
M-Theory,6600,6600,0,0,0,0,Leans Democrat,"Record Companies,Singers"
Miquel Elizondo,6600,6600,0,0,0,0,Leans Democrat,"Record Companies,Singers"
Q Prime Inc,296551,296551,0,0,0,0,Leans Democrat,Recorded Music & Music Production
Corky Hale Productions,170437,158337,0,10800,0,0,Leans Democrat,Recorded Music & Music Production
Curb Records,163400,0,63400,0,100000,0,Leans Conservative,Recorded Music & Music Production
Universal Music Group,148832,122303,26255,10000,0,0,Leans Democrat,Recorded Music & Music Production
Mtheory,105920,105920,0,0,0,0,Leans Democrat,Recorded Music & Music Production
Michael Skloff Music,96900,96900,0,0,0,0,Leans Democrat,Recorded Music & Music Production
ASCAP,65323,52318,13000,0,0,0,Leans Democrat,Recorded Music & Music Production
Sony Music Entertainment,60596,53949,5507,0,0,0,Leans Democrat,Recorded Music & Music Production
Broadcast Music Inc,57700,27918,29657,0,0,0,Leans Republican,Recorded Music & Music Production
Recording Industry Assn of America,51265,22365,28900,0,0,0,Leans Republican,Recorded Music & Music Production
TGC Management,47900,47900,0,0,0,0,Leans Democrat,Recorded Music & Music Production
Access Industries,21795,16384,125,5250,0,0,Leans Democrat,Recorded Music & Music Production
National Music Publishers Assn,20250,9500,10750,0,0,0,Leans Republican,Recorded Music & Music Production
Jon Landau Management,20037,20037,0,0,0,0,Leans Democrat,Recorded Music & Music Production
Soundexchange,10213,6089,4124,0,0,0,Leans Democrat,Recorded Music & Music Production
American Assn of Independent Music,9000,4000,5000,0,0,0,Leans Republican,Recorded Music & Music Production
Peter Rutenberg Music Productions,8500,8500,0,0,0,0,Leans Democrat,Recorded Music & Music Production
Sesac Music Group,7040,4101,2939,0,0,0,Leans Democrat,Recorded Music & Music Production
Baste Records,6818,0,6818,0,0,0,Leans Republican,Recorded Music & Music Production
M-Theory,6600,6600,0,0,0,0,Leans Democrat,Recorded Music & Music Production
Miquel Elizondo,6600,6600,0,0,0,0,Leans Democrat,Recorded Music & Music Production
Everytown For Gun Safety Action Fund,8666725,8215,0,8661510,0,0,Leans Liberal,Gun Control
Giffords PAC,63105,62105,1000,0,0,0,Leans Democrat,Gun Control
Everytown for Gun Safety,54812,54461,1,50250,0,0,Leans Democrat,Gun Control
Brady Campaign To Prevent Gun Violence,48480,480,0,48000,0,0,Leans Liberal,Gun Control
Brady PAC,13750,12750,1000,0,0,0,Leans Democrat,Gun Control
Ban Assault Weapons Now PAC,7300,7300,0,0,0,0,Leans Democrat,Gun Control
American Career College,112835,0,102835,0,10000,0,Leans Republican,For-profit Education
Full Sail,83909,5671,42691,0,35000,500,Leans Republican,For-profit Education
Adtalem Global Education,75273,66197,9061,0,0,0,Leans Democrat,For-profit Education
Career Education Colleges & Universities,59525,23525,36000,0,0,0,Leans Republican,For-profit Education
Monroe College,45509,44134,1275,0,0,0,Leans Democrat,For-profit Education
Apollo Education Group,41211,6110,35026,0,0,0,Leans Republican,For-profit Education
School of Visual Arts,39198,37143,2000,0,0,0,Leans Democrat,For-profit Education
South College,36782,128,36606,0,0,0,Leans Republican,For-profit Education
Strategic Education,36488,13848,18200,175,0,0,Leans Republican,For-profit Education
Rocky Vista University,25125,35,25090,0,0,0,Leans Republican,For-profit Education
Triumph Higher Education Group,22822,237,22585,0,0,0,Leans Republican,For-profit Education
Empire Education Group,20255,0,20255,0,0,0,Leans Republican,For-profit Education
Nuc University,17505,17500,0,0,0,0,Leans Democrat,For-profit Education
San Joaquin Valley College,16251,4351,11900,0,0,0,Leans Republican,For-profit Education
Perdoceo Education Corp,14847,2613,12209,0,0,0,Leans Republican,For-profit Education
West Coast University,13493,2681,812,0,10000,0,Leans Conservative,For-profit Education
Western Technical College (Texas),13450,6600,6850,0,0,0,Leans Republican,For-profit Education
University of Phoenix,12995,7625,4959,195,0,0,Leans Democrat,For-profit Education
Grand Canyon Education,12776,2520,7774,0,0,0,Leans Republican,For-profit Education
Lincoln Educational Services,12606,0,4856,0,6750,0,Leans Conservative,For-profit Education
PAC to the Future,807500,807500,0,0,0,0,Leans Democrat,Democratic Leadership PACs
Fair Shot PAC,749100,749100,0,0,0,0,Leans Democrat,Democratic Leadership PACs
Jobs Education & Families First,748500,748500,0,0,0,0,Leans Democrat,Democratic Leadership PACs
AmeriPAC: The Fund for a Greater America,522500,522500,0,0,0,0,Leans Democrat,Democratic Leadership PACs
M-PAC,370000,360000,0,0,0,0,Leans Democrat,Democratic Leadership PACs
CA-LUV PAC,362457,362457,0,0,0,0,Leans Democrat,Democratic Leadership PACs
Great Lakes PAC,350000,350000,0,0,0,0,Leans Democrat,Democratic Leadership PACs
Purpose PAC,285000,275000,0,0,0,0,Leans Democrat,Democratic Leadership PACs
Motor City PAC,282500,282500,0,0,0,0,Leans Democrat,Democratic Leadership PACs
Blue Hen PAC,270000,260000,0,0,0,0,Leans Democrat,Democratic Leadership PACs
Liftoff PAC,226000,226000,0,0,0,0,Leans Democrat,Democratic Leadership PACs
America Works PAC,220000,220000,0,0,0,0,Leans Democrat,Democratic Leadership PACs
Evergreen PAC,206500,206500,0,0,0,0,Leans Democrat,Democratic Leadership PACs
Shore PAC,204000,204000,0,0,0,0,Leans Democrat,Democratic Leadership PACs
Treasure State PAC,200000,200000,0,0,0,0,Leans Democrat,Democratic Leadership PACs
Velvet Hammer PAC,200000,190000,0,0,0,0,Leans Democrat,Democratic Leadership PACs
Smart Solutions PAC,192500,192500,0,0,0,0,Leans Democrat,Democratic Leadership PACs
BRIDGE PAC,188000,188000,0,0,0,0,Leans Democrat,Democratic Leadership PACs
Prairie PAC,187500,182500,0,0,0,0,Leans Democrat,Democratic Leadership PACs
Forward Together PAC,175000,175000,0,0,0,0,Leans Democrat,Democratic Leadership PACs
Jewish Youth for Community Action,1348200,13200,0,1325000,0,0,Leans Liberal,"Religious Organizations,Clergy"
Concordia Theological Seminary,99630,97263,67,1150,0,0,Leans Democrat,"Religious Organizations,Clergy"
Jewish Theological Seminary,87754,87754,0,0,0,0,Leans Democrat,"Religious Organizations,Clergy"
First United Methodist Church,82910,3717,77283,0,1360,0,Leans Republican,"Religious Organizations,Clergy"
United Methodist Church,68775,62394,4932,300,0,0,Leans Democrat,"Religious Organizations,Clergy"
Methodist Church,67115,3797,62918,0,1471,250,Leans Republican,"Religious Organizations,Clergy"
A Khmer Buddhist Foundation,63800,63800,0,27400,0,0,Leans Democrat,"Religious Organizations,Clergy"
The Episcopal Church,39868,25002,14127,0,0,0,Leans Democrat,"Religious Organizations,Clergy"
Presbyterian Church,23355,20351,2459,140,0,0,Leans Democrat,"Religious Organizations,Clergy"
Grace Lutheran Church,22921,19164,348,2787,0,0,Leans Democrat,"Religious Organizations,Clergy"
Hebrew Union College,16838,16337,501,0,0,0,Leans Democrat,"Religious Organizations,Clergy"
Calvary Church,15637,0,14947,0,565,0,Leans Republican,"Religious Organizations,Clergy"
St Paul Catholic Church,15531,14077,0,1454,0,0,Leans Democrat,"Religious Organizations,Clergy"
Diocese of San Jose,15423,14486,745,0,0,0,Leans Democrat,"Religious Organizations,Clergy"
Presbytery of Baltimore,15288,15288,0,0,0,0,Leans Democrat,"Religious Organizations,Clergy"
First Presbyterian Church,14727,12413,2211,0,0,0,Leans Democrat,"Religious Organizations,Clergy"
Jewbelong,14550,13800,750,0,0,0,Leans Democrat,"Religious Organizations,Clergy"
Center for Humanist Activism,14500,14500,0,0,0,0,Leans Democrat,"Religious Organizations,Clergy"
Temple Emanuel,14162,14124,20,0,0,0,Leans Democrat,"Religious Organizations,Clergy"
Awaken Church,13410,0,13410,0,0,0,Leans Republican,"Religious Organizations,Clergy"
University of California,2628082,2142193,94592,350001,0,35103,Leans Democrat,"Colleges, Universities & Schools"
Stanford University,1148744,965564,49563,139002,0,10000,Leans Democrat,"Colleges, Universities & Schools"
Vassar College,1012348,9892,50,1001894,0,0,Leans Liberal,"Colleges, Universities & Schools"
Harvard University,971402,707038,121547,124670,0,2200,Leans Democrat,"Colleges, Universities & Schools"
Emory University,795544,665104,15889,104766,0,0,Leans Democrat,"Colleges, Universities & Schools"
Johns Hopkins University,710798,665173,26532,10590,0,0,Leans Democrat,"Colleges, Universities & Schools"
University of Michigan,599950,554306,18212,15422,0,0,Leans Democrat,"Colleges, Universities & Schools"
University of California/San Francisco,588905,205417,6536,376573,0,0,Leans Liberal,"Colleges, Universities & Schools"
Columbia University,575816,528132,21997,18672,0,0,Leans Democrat,"Colleges, Universities & Schools"
University of Washington,544522,499340,8690,29814,0,0,Leans Democrat,"Colleges, Universities & Schools"
Massachusetts Institute of Technology,483106,375082,60756,28372,0,0,Leans Democrat,"Colleges, Universities & Schools"
University of Wisconsin,446033,416668,16122,3795,0,0,Leans Democrat,"Colleges, Universities & Schools"
California State University,439286,311716,27981,38123,500,54000,Leans Democrat,"Colleges, Universities & Schools"
University of Texas,438923,370971,50631,10807,225,1333,Leans Democrat,"Colleges, Universities & Schools"
University of Maryland,389182,359669,18754,6179,0,0,Leans Democrat,"Colleges, Universities & Schools"
Duke University,389081,320632,24695,27143,10000,0,Leans Democrat,"Colleges, Universities & Schools"
City University of New York,375857,304109,21240,10262,0,11000,Leans Democrat,"Colleges, Universities & Schools"
University of Pennsylvania,356298,325062,16741,1546,0,0,Leans Democrat,"Colleges, Universities & Schools"
University of Southern California,334201,283425,22115,5801,0,0,Leans Democrat,"Colleges, Universities & Schools"
Northwestern University,334120,298666,26670,6655,0,0,Leans Democrat,"Colleges, Universities & Schools"
Crystal Bridges Museum of American Art,5055210,205,5000,0,5050000,0,Leans Conservative,Other
Marcus Foundation,3953400,0,1360800,0,592600,2000000,On the fence,Other
Pathways.org,3570030,30,70000,0,3500000,0,Leans Conservative,Other
University of California,2628082,2142193,94592,350001,0,35103,Leans Democrat,Other
Simon Youth Foundation,2299985,799985,0,1595000,0,0,Leans Liberal,Other
Global Impact Social Welfare Fund,1400000,0,0,1250000,150000,0,Leans Liberal,Other
Simons Foundation,1354758,354653,0,1000000,0,0,Leans Liberal,Other
Jewish Youth for Community Action,1348200,13200,0,1325000,0,0,Leans Liberal,Other
Arthur M Blank Family Foundation,1343503,343498,5,0,0,1000000,On the fence,Other
US Government,1213955,850291,295579,35199,7795,510,Leans Democrat,Other
Heising-Simons Foundation,1187215,186415,0,1000000,0,0,Leans Liberal,Other
Stanford University,1148744,965564,49563,139002,0,10000,Leans Democrat,Other
Schusterman Foundation,1129465,229265,0,900200,0,0,Leans Liberal,Other
State of California,1068034,899626,129888,23032,233,0,Leans Democrat,Other
Vassar College,1012348,9892,50,1001894,0,0,Leans Liberal,Other
Harvard University,971402,707038,121547,124670,0,2200,Leans Democrat,Other
US Postal Service,812790,453114,318970,7764,1949,505,Leans Democrat,Other
Emory University,795544,665104,15889,104766,0,0,Leans Democrat,Other
US Dept of Defense,758225,417851,308314,5926,2950,0,Leans Democrat,Other
Johns Hopkins University,710798,665173,26532,10590,0,0,Leans Democrat,Other
DISH Network,495912,261530,211963,0,0,0,Leans Democrat,Cable & Satellite TV Production & Distribution
Warner Brothers Discovery,174359,141864,7900,23450,0,0,Leans Democrat,Cable & Satellite TV Production & Distribution
Comcast Corp,75274,25157,0,16200,50000,0,Leans Conservative,Cable & Satellite TV Production & Distribution
HBO,43475,43074,0,344,0,0,Leans Democrat,Cable & Satellite TV Production & Distribution
Starz LLC,34131,24631,9500,0,0,0,Leans Democrat,Cable & Satellite TV Production & Distribution
Winston Entertainment,29000,29000,0,0,0,0,Leans Democrat,Cable & Satellite TV Production & Distribution
National Amusements Inc,22456,15903,6200,25,0,0,Leans Democrat,Cable & Satellite TV Production & Distribution
Rural Media Group,19100,0,19100,0,0,0,Leans Republican,Cable & Satellite TV Production & Distribution
Walt Disney Co,15645,13967,429,720,0,0,Leans Democrat,Cable & Satellite TV Production & Distribution
Espn Inc,11693,8254,311,500,0,0,Leans Democrat,Cable & Satellite TV Production & Distribution
AT&T Inc,9444,5284,3943,0,0,0,Leans Democrat,Cable & Satellite TV Production & Distribution
DirecTV,8535,5642,2878,0,0,0,Leans Democrat,Cable & Satellite TV Production & Distribution
Nickelodeon,6712,5977,110,600,0,0,Leans Democrat,Cable & Satellite TV Production & Distribution
Showtime Networks,5031,4956,0,75,0,0,Leans Democrat,Cable & Satellite TV Production & Distribution
University of California,2628082,2142193,94592,350001,0,35103,Leans Democrat,"Teachers,Education"
Stanford University,1148744,965564,49563,139002,0,10000,Leans Democrat,"Teachers,Education"
Vassar College,1012348,9892,50,1001894,0,0,Leans Liberal,"Teachers,Education"
Harvard University,971402,707038,121547,124670,0,2200,Leans Democrat,"Teachers,Education"
Emory University,795544,665104,15889,104766,0,0,Leans Democrat,"Teachers,Education"
Johns Hopkins University,710798,665173,26532,10590,0,0,Leans Democrat,"Teachers,Education"
University of Michigan,599950,554306,18212,15422,0,0,Leans Democrat,"Teachers,Education"
University of California/San Francisco,588905,205417,6536,376573,0,0,Leans Liberal,"Teachers,Education"
Columbia University,575816,528132,21997,18672,0,0,Leans Democrat,"Teachers,Education"
University of Washington,544522,499340,8690,29814,0,0,Leans Democrat,"Teachers,Education"
Massachusetts Institute of Technology,483106,375082,60756,28372,0,0,Leans Democrat,"Teachers,Education"
University of Wisconsin,446033,416668,16122,3795,0,0,Leans Democrat,"Teachers,Education"
California State University,439286,311716,27981,38123,500,54000,Leans Democrat,"Teachers,Education"
University of Texas,438923,370971,50631,10807,225,1333,Leans Democrat,"Teachers,Education"
University of Maryland,389182,359669,18754,6179,0,0,Leans Democrat,"Teachers,Education"
Duke University,389081,320632,24695,27143,10000,0,Leans Democrat,"Teachers,Education"
City University of New York,375857,304109,21240,10262,0,11000,Leans Democrat,"Teachers,Education"
University of Pennsylvania,356298,325062,16741,1546,0,0,Leans Democrat,"Teachers,Education"
University of Southern California,334201,283425,22115,5801,0,0,Leans Democrat,"Teachers,Education"
Northwestern University,334120,298666,26670,6655,0,0,Leans Democrat,"Teachers,Education"
Rock Holdings,1129425,516575,606210,0,0,0,Leans Republican,Mortgage Bankers & Brokers
Mortgage Bankers Assn,676410,307900,359010,0,0,0,Leans Republican,Mortgage Bankers & Brokers
21st Mortgage Corp,169749,1346,148377,0,20000,0,Leans Republican,Mortgage Bankers & Brokers
Rocket Companies,139866,64965,74901,0,0,0,Leans Republican,Mortgage Bankers & Brokers
Franklin American Mortgage,139044,140,38904,0,100000,0,Leans Conservative,Mortgage Bankers & Brokers
Headlands Asset Management,120370,370,0,0,120000,0,Leans Conservative,Mortgage Bankers & Brokers
Veterans United Home Loans,107301,44925,62126,0,0,0,Leans Republican,Mortgage Bankers & Brokers
Rocket Mortgage,103257,54752,48330,120,0,0,Leans Democrat,Mortgage Bankers & Brokers
National Assn of Mortgage Brokers,93500,31000,62500,0,0,0,Leans Republican,Mortgage Bankers & Brokers
Crosscountry Mortgage,82369,39497,42469,0,0,0,Leans Republican,Mortgage Bankers & Brokers
Federal Home Loan Bank,81340,51511,28679,150,0,0,Leans Democrat,Mortgage Bankers & Brokers
Association of Independent Mortgage Experts,78500,27000,46500,0,0,0,Leans Republican,Mortgage Bankers & Brokers
Fannie Mae,74920,63007,8239,2500,0,0,Leans Democrat,Mortgage Bankers & Brokers
Enact Holdings,63500,21000,42500,0,0,0,Leans Republican,Mortgage Bankers & Brokers
Liberty Mortgage & Development Co,62900,60600,0,2200,0,0,Leans Democrat,Mortgage Bankers & Brokers
Academy Mortgage,60498,1627,58871,0,0,0,Leans Republican,Mortgage Bankers & Brokers
United Wholesale Mortgage,56525,25525,31000,0,0,0,Leans Republican,Mortgage Bankers & Brokers
RocketLoans,55870,0,55870,0,0,0,Leans Republican,Mortgage Bankers & Brokers
Fairway Independent Mortgage,43795,40750,2295,0,750,0,Leans Democrat,Mortgage Bankers & Brokers
Mortgage Guaranty Insurance Corp,39000,15500,23500,0,0,0,Leans Republican,Mortgage Bankers & Brokers
Federated Indians Of Graton Rancheria,1192595,992595,0,141466,0,0,Leans Democrat,Indian Gaming
Poarch Band of Creek Indians,1060839,290400,270439,0,500000,0,Leans Conservative,Indian Gaming
Puyallup Tribe Of Indians,879662,581469,45206,250000,0,0,Leans Democrat,Indian Gaming
San Pablo Lytton Casino,745526,95526,0,650000,0,0,Leans Liberal,Indian Gaming
Agua Caliente Band Of Cahuilla Indians,604490,299290,205200,100000,0,0,Leans Democrat,Indian Gaming
Shakopee Mdewakanton Sioux Community,499700,347550,150500,25000,0,0,Leans Democrat,Indian Gaming
Chickasaw Nation,466569,283822,182621,10000,0,0,Leans Democrat,Indian Gaming
San Manuel Band of Mission Indians,452803,170583,96635,0,0,185052,On the fence,Indian Gaming
Morongo Band of Mission Indians,452161,246961,205200,0,0,0,Leans Democrat,Indian Gaming
Pechanga Band of Luiseno Mission Indians,415100,211200,203900,0,0,0,Leans Democrat,Indian Gaming
Santa Ynez Band of Chumash Indians,377545,212645,164900,32400,0,0,Leans Democrat,Indian Gaming
Ak-Chin Indian Community,354410,218410,136000,0,0,0,Leans Democrat,Indian Gaming
Sycuan Band of the Kumeyaay Nation,317000,201900,115100,59800,5000,0,Leans Democrat,Indian Gaming
Cherokee Nation,291681,167815,123866,10000,0,0,Leans Democrat,Indian Gaming
Ysleta del Sur Pueblo,253050,123040,105000,0,25000,0,Leans Democrat,Indian Gaming
Tunica-Biloxi Tribe of Louisiana,246464,243164,3300,0,0,0,Leans Democrat,Indian Gaming
Salt River Pima-Maricopa Indians,234456,181856,52600,0,0,0,Leans Democrat,Indian Gaming
Soboba Band of Luiseno Indians,233550,152750,80800,32400,0,0,Leans Democrat,Indian Gaming
Oneida Indian Nation,219435,112020,107415,0,0,0,Leans Democrat,Indian Gaming
Lytton Band of Pomo Indians,206899,206899,0,0,0,0,Leans Democrat,Indian Gaming
Southern Waste Systems,236700,0,36700,0,200000,0,Leans Conservative,"Trash Collection,Waste Management"
River Birch Inc,182800,45400,36400,1000,100000,0,Leans Conservative,"Trash Collection,Waste Management"
Waste Management Inc,88585,48990,37190,1500,0,0,Leans Democrat,"Trash Collection,Waste Management"
